,content,label
0,"Researchers use deep learning to simulate chlorophyll-a &amp; phycocyanin with an internet of things system to detect &amp; quantify #cyanobacteria, to improve #eutrophication management schemes for freshwater reservoirs.
#algae #microbiology #environment #iot 
eeer.org/journal/view.p…",Positive
1,"Why is our @Conservatives government so evil?

#RishiSunak
#climateChange #Conservatives
#FuckingThieves https://t.co/cCGyylmYlf",Negative
2,"Texas Oilfield Waste Company Contributed $53,750 to Regulators Overseeing a Controversial Permit Application dlvr.it/ShpGkY #ClimateChange https://t.co/X7a5qj0LdI",Negative
3,Epic California snowpack is now the deepest it's been in 4 decades - Thank you #ClimateChange  apple.news/A-BWrxe2IT7iSt…,Negative
4,"If #climatechange is real and not a hoax why do the Bidens, Obamas, Gores, all have ocean front property? They tell us the oceans will rise.",Negative
5,"A study assessing the feedbacks between #water, food &amp; #energy nexus at the national level with a dynamic-system model, taking into account the qualitative &amp; quantitative #environmental water needs. 
#water #wastewater #agriculture #science #sustainability
nature.com/articles/s4159…",Positive
6,Sierra snowpack 205% of its historical average | Climate Change ... - San Francisco Examiner dlvr.it/ShpGVN #ClimateChange,Neutral
7,"Is this not relevant to food security for #windsor #Essex regional #agricultural #yqg 
#Sustainability Should we be planning localized systems that will deliver food, energy, and income for the community by the community in the near future.",Positive
8,Nature’s Diversity is Captured in Minuscule Detail in the 2022 Close-Up Photographer of the Year Competition thisiscolossal.com/2023/01/close-… #Nature #Environment #Ecology #Photography #Diversity,Neutral
9,#Sustainability ♻️#Media 🗞️ #EnergyStorage ⚡☀️🔋🌊#SWD  🕸️#G2S🌿#StartUp ☄️🆙Unveils #SaltWater 🌊 Flow #Battery🔋 - #THENEWECONOMY 💲 pv-magazine-usa.com/2023/01/24/sta… https://t.co/Tylr1kpBv9,Neutral
10,"iambrainstorming.wordpress.com/2021/10/23/dem…  #AAP #ArvindKejriwal Please stop providing coal subsidy Instead of bringing sustainable policy, they want the future of our children and grandchildren on the brink of catastrophe due to #climatechange. https://t.co/XMVR7PWLOT",Negative
11,The #CarbonDioxide intensity is low. Lets take #ClimateAction now! (#ClimateChange),Positive
12,"4.1% of energy is created by biomass, 0.8% is coal along with 9.5% being gas, 16.2% is nuclear and 1.4% is hydro, 0% is solar with 54.3% being wind, 0% is other ways and 13.8% being imports (#ClimateChange)",Neutral
13,"1st Februterry! Prepare for a month of cloth nappy spam 😆🤩

#sorrynotsorry #februterry #brightbots #makelaundrynotlandfill #reduceplasticwaste #climatechange #noplanetb #oneearth 

@theflatscompany instagram.com/p/CoI44d4opKr/…",Positive
14,"▶  The Politics of Everything Podcast: The Fiery Gas Stove Wars

#ENVIRONMENT

youtube.com/watch?v=0Q9O0C…",Neutral
15,"What will the quality of life be in #windsor #yqg #ontario #canada by 2040? 2050? 2070? What will it be like to run a small business in the city? The decisions that our leaders make now will be the difference one way or another. 
#newgasturbines #climatechange #windsorpoli",Negative
16,"On #WorldWetlandsDay we want to spread the word that #WetlandRestoration is important to #ClimateChange. UNSW experts including @DrWillGlamore, @j_ruprecht &amp; @TurnThatAround are guiding the future of #BlueCarbon in Aus - globalwaterinstitute.unsw.edu.au/news/unsw-rese… #GenerationRestoration #ForWetlands https://t.co/egVSU508jF",Positive
17,"Crypto and blockchain can lead the world to environmental sustainability: The existing international banking system consumes far more energy than blockchain technology. 

#BTC #Regulation #ESG #Investing #PlanetEarth #Sustainability #Blockchain 

web3africa.news/2022/06/30/new…",Positive
