,content,label
0,"Texworld Evolution Paris: 750 international exhibitors expected in February
textilevaluechain.in/event-calendar…
#yarn #fiber #fabric #textile #apparel #garment #import #export #fashionindustry #fashion #luxury #paris #sourcing #sustainability",Neutral
1,"Tune in to our new #podcast series, The City Citizen, to hear what steps city leaders are taking to transform their cities into more resilient, equitable and sustainable place to live and work. #Sustainability #BetterWorkingWorld ey.smh.re/2bE5",Positive
2,Good point from @DefraGovUK SoS @theresecoffey: we need to realise that investing in #nature is a very cost effective way to achieve a multitude of objectives from maintaining key services from nature and reducing emissions to adapting to #climatechange,Positive
3,"MYMOODY
ONCE UPON A TIME... | ARCHIVE | ILLUSTRATIONS BY THOMAS
GARNER FOR GOLDIE ITALIA, REPLAY, DIESEL, RETOUR AND HOT PRODUCTS PROJECTS
mymoody.it tomgarner.com
info@mymoody.it
#sustainability #worldwithoutwaste #NewCollection
#creativity #graphicdesign https://t.co/4ki5kQTybd",Positive
4,"@njieforti Profitability is an integral aspect of #Sustainability (economic sustainability). A third aspect, is 'Social sustainability'.

We can not focus only on environmental sustainability.  If it is not socially and economically sustainable, Farmers will not adopt it.",Positive
5,"For those of you that have just joined our journey, first off hello 👋

Secondly, come see how Ready we are to keep #PlantBased products at an everyday price whilst building a business driven by #sustainability. We’re just getting started: readyburger.co.uk",Negative
6,"It's another warm winter day, climate change myabe still hoax. #climatechange #globalwarming. fuck the AI https://t.co/7ttSvl0nqo",Positive
7,"The Second Green Revolution Begins With You. Don’t Waste. Just Blynk 

#NoResolutionsOnlySolutions #goblynk #justblynk #thinkblynk #buysmartnotnew #refurbish #android #smartphone #refurbished #tech #ScrewNew #RefurbishedTech #RenewedTech #environment #sustainability #recycle https://t.co/tkcg2kjGAM",Neutral
8,"Dry season rain or the beginning of the rainy season in #Cameroon?
There has been unusual rainfall in the capital Yaounde in the last days of January whereas the dry season usually lasts from December to March/April. #ClimateChange #ClimateAction https://t.co/yyjy9BuTKT",Positive
9,"Bass Lake Ranger District Plans To Initiate Pile Burning - Sierra News Online
Source: sierranewsonline.com (sierranewsonline.com/bass-lake-rang…)
#climatechange #airpollution #pollution #news #climateline",Negative
10,"Chess players perform worse in air pollution - ScienceBlog.com
Source: scienceblog.com (scienceblog.com/536261/chess-p…)
#climatechange #airpollution #pollution #news #climateline",Negative
11,"Why is air pollution still a non-issue? - The Daily Star
Source: thedailystar.net (thedailystar.net/opinion/editor…)
#climatechange #airpollution #pollution #news #climateline",Positive
12,"Air pollution warning for Bangkok
Source: bangkokpost.com (bangkokpost.com/learning/easy/…)
#climatechange #airpollution #pollution #news #climateline",Negative
13,"72 Italian cities broke the law on air-pollution in 2022 - Inform.kz
Source: inform.kz (inform.kz/en/72-italian-…)
#climatechange #airpollution #pollution #news #climateline",Negative
14,"'Haxby station will only increase air pollution in the town' | York Press
Source: yorkpress.co.uk (yorkpress.co.uk/news/23287632.…)
#climatechange #airpollution #pollution #news #climateline",Negative
15,"Why has Mumbai's air gotten so bad this winter? - Quartz
Source: qz.com (qz.com/why-has-mumbai…)
#climatechange #airpollution #pollution #news #climateline",Positive
16,"Piers Morgan blames 'worsening hay fever' on air pollution in London | The Independent
Source: independent.co.uk (independent.co.uk/life-style/hea…)
#climatechange #airpollution #pollution #news #climateline",Positive
17,"Every household in England 'to be within 15 minutes of green space or water' - The Guardian
Source: theguardian.com (theguardian.com/environment/20…)
#climatechange #airpollution #pollution #news #climateline",Positive
18,"Vehicles, dust or industry? Delhi will now know what's causing pollution - The Indian Express
Source: indianexpress.com (indianexpress.com/article/cities…)
#climatechange #airpollution #pollution #news #climateline",Neutral
19,"SEPA rules out environmental pollution as cause for Kemari deaths - Pakistan - SAMAA
Source: samaaenglish.tv (samaaenglish.tv/news/40026548)
#climatechange #airpollution #pollution #news #climateline",Positive
20,"Toward a sustainable, inclusive, growing future: The role of business mck.co/3Uz7f29 via @McKinsey #Davos2023 #worldeconomicforum2023 #WEF #inclusive #gsü #galatasaray #kapsayıcılık #sustainability #McKinsey #sustainablegrowth #inclusivegrowth",Neutral
21,"Minister of Environment and Climate Change of Somalia Khadija Mohamed Almakhzoumi to visit Finland @Ulkoministerio #Africa #Finland #Somalia #ForeignPolicy #ClimateChange #Environment #BilateralCooperation
Read more: apo-opa.info/3jpEwPI",Negative
22,Leaf blowing log 31/01/23 11.17am Bentley Way.  Causing #distress to people and #animals. Every day. Next to Bentley Priory Nature Reserve Why can #gardeners who #pollute the #environment act with impunity? Any #lawyers to answer that? @FloraConsUK @harrowonline @HarrowLawCentre https://t.co/jc2yGwDhJc,Positive
23,".@DefraGovUK @theresecoffey launches the new #EnvironmentalImprovementPlan, stressing that this is meant to be a delivery plan and one that is guided by the overall mission of halting #nature's decline by 2030 #environment https://t.co/KLZigiPzn1",Negative
24,We are ‘greening’ ourselves to extinction aje.io/ulgo58 via @AJEnglish #climatechange by @kolinjivadi,Positive
25,"Good news on #climatechange 

#renewableenergy from the sun and wind is powering ahead across Europe keeping the lights on but without producing #CO2 or feeding the war in Ukraine 

Win win win win win",Positive
26,"2023 the 'Year of Sustainability in the UAE
#design #uae
#sustainability
#government
#media
#Advertising 
Not authorized for use https://t.co/AFhT55zaDg",Positive
27,"🎉 Join us at @TweetMRS CX | UX | MR Conference on 2 February &amp; see how we developed breakthrough EV solutions to help fleets decarbonise.
👉 More details: bit.ly/3XA14MM

#ev #designsprint #decarbonisation #ux #customercentricity #innovation  #sustainability #mobility",Positive
28,"My focus is to save those trees that are on the verge of extinction. My demand is to declare Odisha a herbal State and Kalahandi as herbal district,”  Patayat Sahu. He is this year’s recipient of Padma Shri.#Salute
#environment #GreatIndians #inspiration https://t.co/Upg2lDo2t2",Positive
29,"Through initiatives and continuing activities, we hope to work together with Africa and Africans to reduce the effects of climate change and adequately adapt to the situation at hand.

Join us!
gyfoundation.org/donate

#climate #climatechange #climateaction #africa #donate",Positive
30,Exciting funded #PhD opportunity with me and @DrAlexFord here @portsmouthuni “Communicating #marinescience research and the urgent need for creative #climatechange responses/action” #creativepractice #informationdesign #artscience #sciencecommunication tinyurl.com/3u6mauzp,Neutral
31,"How can we limit #ClimateChange?

#Biodiversity and #ecosystem #conservation and #restoration?

What are other approaches we can use to act on climate? Share your thoughts below 👇 

#ClimateEmergency #ClimateCrisis #SDGs2030 #ClimateAction #Sustainability #Decarbonisation https://t.co/Xxo6xZra70",Neutral
32,"DSM and @FoundationEarth  collaborate on animal #protein eco-label initiative 

@DSM #sustainability #foodnews 

foodingredientsfirst.com/news/dsm-and-f…",Positive
33,"AnthropoceneDAO.com »England’s Obesity Timebomb Could Be Defused With More Active Travel, Say Experts« forbes.com/sites/carltonr… #Anthropocene #DAO 道 #Sustainability #Science #Innovation #Technology",Neutral
34,"UK and Ireland-based drinks company C&amp;C Group has announced that its greenhouse gas reduction targets have been validated by the Science Based Targets initiative.

#Sustainability #SBTI #Emissions #DrinksIndustry @sciencetargets  sustainablefuturenews.com/sustainability…",Positive
